Time,Oxygen Level,Pulse Rate,Motion,O2 Reminder,PR Reminder
16:56:49 Jan 08 2024,98,75,0,0,0
16:56:53 Jan 08 2024,99,90,0,0,0
16:56:57 Jan 08 2024,99,92,0,0,0
16:57:01 Jan 08 2024,99,87,0,0,0
16:57:05 Jan 08 2024,99,84,0,0,0
16:57:09 Jan 08 2024,99,81,0,0,0
16:57:13 Jan 08 2024,99,81,0,0,0
16:57:17 Jan 08 2024,99,81,0,0,0
16:57:21 Jan 08 2024,99,73,0,0,0
16:57:25 Jan 08 2024,99,76,0,0,0
16:57:29 Jan 08 2024,99,76,1,0,0
16:57:33 Jan 08 2024,99,81,0,0,0
16:57:37 Jan 08 2024,99,82,1,0,0
16:57:41 Jan 08 2024,99,82,0,0,0
16:57:45 Jan 08 2024,99,82,0,0,0
16:57:49 Jan 08 2024,99,82,0,0,0
16:57:53 Jan 08 2024,99,88,0,0,0
16:57:57 Jan 08 2024,99,85,0,0,0
16:58:01 Jan 08 2024,99,85,0,0,0
16:58:05 Jan 08 2024,99,85,0,0,0
16:58:09 Jan 08 2024,99,85,4,0,0
16:58:13 Jan 08 2024,99,85,8,0,0
16:58:17 Jan 08 2024,99,85,3,0,0
16:58:21 Jan 08 2024,99,85,1,0,0
16:58:25 Jan 08 2024,99,85,0,0,0
16:58:29 Jan 08 2024,99,85,13,0,0
16:58:33 Jan 08 2024,99,85,5,0,0
16:58:37 Jan 08 2024,99,85,4,0,0
16:58:41 Jan 08 2024,99,85,5,0,0
16:58:45 Jan 08 2024,99,85,2,0,0
16:58:49 Jan 08 2024,99,85,9,0,0
16:58:53 Jan 08 2024,99,85,2,0,0
16:58:57 Jan 08 2024,99,85,9,0,0
16:59:01 Jan 08 2024,99,85,22,0,0
16:59:05 Jan 08 2024,99,85,0,0,0
16:59:09 Jan 08 2024,99,85,0,0,0
16:59:13 Jan 08 2024,98,86,2,0,0
16:59:17 Jan 08 2024,98,86,2,0,0
16:59:21 Jan 08 2024,99,86,1,0,0
16:59:25 Jan 08 2024,99,75,0,0,0
16:59:29 Jan 08 2024,99,82,0,0,0
16:59:33 Jan 08 2024,99,92,0,0,0
16:59:37 Jan 08 2024,99,93,0,0,0
16:59:41 Jan 08 2024,99,91,0,0,0
16:59:45 Jan 08 2024,99,91,0,0,0
16:59:49 Jan 08 2024,99,91,5,0,0
16:59:53 Jan 08 2024,99,91,0,0,0
16:59:57 Jan 08 2024,99,88,0,0,0
17:00:01 Jan 08 2024,99,85,0,0,0
17:00:05 Jan 08 2024,99,86,0,0,0
17:00:09 Jan 08 2024,99,85,0,0,0
17:00:13 Jan 08 2024,99,84,0,0,0
17:00:17 Jan 08 2024,99,82,0,0,0
17:00:21 Jan 08 2024,99,78,0,0,0
17:00:25 Jan 08 2024,99,78,0,0,0
17:00:29 Jan 08 2024,99,78,0,0,0
17:00:33 Jan 08 2024,99,81,0,0,0
17:00:37 Jan 08 2024,99,82,0,0,0
17:00:41 Jan 08 2024,99,82,0,0,0
17:00:45 Jan 08 2024,99,77,0,0,0
17:00:49 Jan 08 2024,99,71,0,0,0
17:00:53 Jan 08 2024,99,76,0,0,0
17:00:57 Jan 08 2024,99,77,0,0,0
17:01:01 Jan 08 2024,99,78,0,0,0
17:01:05 Jan 08 2024,99,77,0,0,0
17:01:09 Jan 08 2024,99,76,0,0,0
17:01:13 Jan 08 2024,99,76,0,0,0
17:01:17 Jan 08 2024,99,76,0,0,0
17:01:21 Jan 08 2024,99,76,0,0,0
17:01:25 Jan 08 2024,99,77,0,0,0
17:01:29 Jan 08 2024,99,78,0,0,0
17:01:33 Jan 08 2024,99,79,0,0,0
17:01:37 Jan 08 2024,99,80,0,0,0
17:01:41 Jan 08 2024,99,80,0,0,0
17:01:45 Jan 08 2024,99,81,0,0,0
17:01:49 Jan 08 2024,99,80,0,0,0
17:01:53 Jan 08 2024,99,81,0,0,0
17:01:57 Jan 08 2024,99,81,0,0,0
17:02:01 Jan 08 2024,99,81,0,0,0
17:02:05 Jan 08 2024,99,83,0,0,0
17:02:09 Jan 08 2024,99,85,0,0,0
17:02:13 Jan 08 2024,99,90,0,0,0
17:02:17 Jan 08 2024,99,91,0,0,0
17:02:21 Jan 08 2024,99,89,0,0,0
17:02:25 Jan 08 2024,99,88,0,0,0
17:02:29 Jan 08 2024,99,85,0,0,0
17:02:33 Jan 08 2024,99,84,0,0,0
17:02:37 Jan 08 2024,99,82,0,0,0
17:02:41 Jan 08 2024,99,82,0,0,0
17:02:45 Jan 08 2024,99,81,0,0,0
17:02:49 Jan 08 2024,99,80,0,0,0
17:02:53 Jan 08 2024,99,81,0,0,0
17:02:57 Jan 08 2024,99,80,0,0,0
17:03:01 Jan 08 2024,99,80,0,0,0
17:03:05 Jan 08 2024,99,80,0,0,0
17:03:09 Jan 08 2024,99,79,0,0,0
17:03:13 Jan 08 2024,99,77,0,0,0
17:03:17 Jan 08 2024,99,77,1,0,0
17:03:21 Jan 08 2024,99,75,0,0,0
17:03:25 Jan 08 2024,99,75,0,0,0
17:03:29 Jan 08 2024,99,76,0,0,0
17:03:33 Jan 08 2024,99,77,0,0,0
17:03:37 Jan 08 2024,99,80,0,0,0
17:03:41 Jan 08 2024,99,79,0,0,0
17:03:45 Jan 08 2024,99,79,0,0,0
17:03:49 Jan 08 2024,99,79,0,0,0
17:03:53 Jan 08 2024,99,79,0,0,0
17:03:57 Jan 08 2024,99,82,0,0,0
17:04:01 Jan 08 2024,99,82,0,0,0
17:04:05 Jan 08 2024,99,82,5,0,0
17:04:09 Jan 08 2024,99,82,1,0,0
17:04:13 Jan 08 2024,99,82,0,0,0
17:04:17 Jan 08 2024,99,82,3,0,0
17:04:21 Jan 08 2024,99,82,3,0,0
17:04:25 Jan 08 2024,99,82,4,0,0
17:04:29 Jan 08 2024,99,82,0,0,0
17:04:33 Jan 08 2024,99,82,0,0,0
17:04:37 Jan 08 2024,99,85,0,0,0
17:04:41 Jan 08 2024,99,98,0,0,0
17:04:45 Jan 08 2024,99,93,0,0,0
17:04:49 Jan 08 2024,99,90,2,0,0
17:04:53 Jan 08 2024,99,90,6,0,0
17:04:57 Jan 08 2024,99,90,0,0,0
17:05:01 Jan 08 2024,99,90,0,0,0
17:05:05 Jan 08 2024,99,90,4,0,0
